ID	Symbol	fc1	fc2	fc3	fc4	p1	p2	p3	p4
A01	Adm	0.77	0.16	0.48	0.68	0.269308		0.016381		0.122498		0.378990
A02	Adora2b	0.93	0.22	0.51	B0.70	0.621161		0.023513		0.070354		0.174827
A03	Aldoa	0.81	1.77	0.84	0.91	0.401227		0.579180		0.474676		0.704539
A04	Angptl4	0.71	0.72	0.77	0.84	0.172278		0.096828		0.139424		0.278878
A05	Ankrd37	1.63	0.31	0.70	0.63	0.005757		0.010772		0.205102		0.138468
A06	Anxa2	0.62	3.12	1.48	1.45	0.337070		0.356016		0.915868		0.904911
A07	Apex1	0.78	0.28	0.52	0.57	0.295050		0.035834		0.141486		0.141873
A08	Arnt	0.82	0.91	0.71	0.73	0.321351		0.570315		0.240713		0.257010
A09	Atr	3.64	0.45	0.33	0.41	0.021031		0.377243		0.187373		0.198955
A10	Bhlhe40	0.94	0.86	0.84	0.89	0.869219		0.893131		0.270078		0.461663
A11	Blm	0.87	0.19	0.47	0.63	0.441187		0.020108		0.164501		0.161608
A12	Bnip3	0.86	0.42	0.51	0.60	0.455653		0.102522		0.141487		0.175286
B01	Bnip3l	0.94	0.53	0.52	0.74	0.562240		0.226751		0.173283		0.426029
B02	Btg1	1.10	1.22	1.00	1.01	0.912006		0.921141		0.714312		0.786513
B03	Car9	0.46	0.10	0.47	0.62	0.003799		0.001146		0.038216		0.218879
B04	Ccng2	0.75	0.43	0.55	0.67	0.183647		0.055550		0.096137		0.174187
B05	Cops5	0.87	0.51	0.55	0.51	0.489682		0.110915		0.114167		0.098959
B06	Ctsa	0.65	1.01	1.06	1.26	0.183054		0.760932		0.841752		0.634928
B07	Ddit4	0.52	1.03	0.53	0.53	0.113173		0.944726		0.159299		0.155666
B08	Dnajc5	0.66	0.52	0.54	0.72	0.215296		0.162531		0.159433		0.265252
B09	Edn1	0.91	0.74	0.67	0.74	0.488113		0.295416		0.195337		0.271400
B10	Egln1	1.16	1.82	0.95	1.11	0.779340		0.506844		0.573438		0.794826
B11	Egln2	0.64	0.72	0.69	0.90	0.111181		0.274135		0.225407		0.610598
B12	Egr1	0.73	1.01	1.37	1.07	0.315597		0.850701		0.534166		0.867169
C01	Eif4ebp1	0.96	0.41	0.56	0.60	0.714405		0.078320		0.065642		0.074379
C02	Eno1	2.41	1.27	1.71	1.98	0.791075		0.297333		0.442002		0.524637
C03	Epo	0.79	0.23	0.42	0.53	0.277921		0.043037		0.105921		0.138256
C04	Ero1l	1.15	1.35	0.86	1.06	0.816237		0.423492		0.434190		0.959584
C05	F10	0.96	0.53	0.73	0.67	0.517411		0.142132		0.258602		0.219893
C06	F3	1.14	2.51	2.74	1.01	0.933498		0.143504		0.138802		0.712684
C07	Fos	0.53	0.64	1.53	0.86	0.153161		0.485989		0.489565		0.486594
C08	Gbe1	0.83	0.78	0.56	0.65	0.435986		0.427685		0.252594		0.310389
C09	Gpi1	0.52	1.24	0.72	0.74	0.133429		0.977516		0.336094		0.607497
C10	Gys1	0.54	0.23	0.71	0.74	0.088784		0.014333		0.330067		0.487989
C11	Hif1a	1.35	0.59	0.64	0.86	0.807847		0.359503		0.342271		0.572808
C12	Hif1an	0.96	0.64	0.58	0.78	0.642490		0.150803		0.117256		0.336065
D01	Hif3a	0.49	0.42	0.60	0.69	0.001406		0.003423		0.212977		0.634791
D02	Hk2	0.63	2.17	1.53	0.74	0.114526		0.251354		0.278265		0.296431
D03	Hmox1	0.88	0.63	0.65	0.72	0.391368		0.208015		0.258955		0.242833
D04	Hnf4a	0.65	0.10	0.41	0.57	0.040780		0.000853		0.037066		0.017748
D05	Ier3	0.68	0.67	1.09	0.92	0.132246		0.196062		0.929228		0.732974
D06	Igfbp3	1.22	0.51	0.57	0.67	0.427641		0.053710		0.093931		0.129406
D07	Jmjd6	0.63	0.54	0.78	0.89	0.029778		0.021902		0.466171		0.662104
D08	Ldha	0.92	0.50	0.63	0.69	0.542851		0.057768		0.154154		0.155281
D09	Lgals3	0.81	0.97	1.24	0.78	0.321213		0.780335		0.780455		0.367502
D10	Lox	0.85	1.25	0.62	0.59	0.417355		0.678904		0.235886		0.211033
D11	Map3k1	1.41	0.74	0.64	0.79	0.723241		0.506460		0.281945		0.409669
D12	Met	0.78	0.21	0.40	0.59	0.305263		0.042116		0.108406		0.189817
E01	Mif	0.65	0.41	0.64	0.70	0.063105		0.022440		0.133491		0.135786
E02	Mmp9	0.59	0.31	0.58	0.88	0.09756		0.104277		0.194994		0.513771
E03	Mxi1	0.81	0.65	0.56	0.77	0.357518		0.225659		0.162466		0.370764
E04	Nampt	1.29	1.97	1.24	1.32	0.562521		0.091137		0.653509		0.519812
E05	Ncoa1	1.34	0.66	0.53	0.76	0.141190		0.044033		0.018609		0.102682
E06	Ndrg1	0.71	0.85	0.48	0.63	0.173677		0.617098		0.079650		0.151920
E07	Nfkb1	0.77	1.06	0.90	1.13	0.358910		0.805571		0.533435		0.906420
E08	Nos3	0.64	0.35	0.55	0.72	0.174918		0.067778		0.186433		0.364739
E09	Odc1	0.77	0.62	0.81	0.75	0.311241		0.373522		0.415789		0.369219
E10	P4ha1	1.17	1.49	0.89	1.08	0.065483		0.131666		0.233690		0.525909
E11	P4hb	0.51	1.30	1.07	1.30	0.198874		0.900770		0.738565		0.804818
E12	Pdk1	1.15	0.38	0.70	0.81	0.901620		0.104645		0.345338		0.541256
F01	Per1	0.52	1.89	1.01	0.88	0.045221		0.130082		0.851469		0.468096
F02	Pfkfb3	0.62	0.23	0.57	0.55	0.182294		0.067607		0.230130		0.175394
F03	Pfkfb4	0.50	0.51	0.66	0.67	0.031108		0.047339		0.190313		0.135363
F04	Pfkl	0.64	0.74	0.75	0.77	0.110442		0.220654		0.258039		0.257403
F05	Pfkp	0.55	0.66	0.68	0.77	0.334647		0.310140		0.320868		0.407603
F06	Pgam1	0.75	0.53	0.64	0.78	0.231790		0.125501		0.214433		0.345939
F07	Pgf	0.51	0.19	0.49	0.56	0.120932		0.070372		0.168395		0.236237
F08	Pgk1	0.86	1.26	0.82	0.70	0.428425		0.661193		0.417633		0.275430
F09	Pim1	0.99	2.35	1.96	0.98	0.856567		0.034723		0.097982		0.820961
F10	Pkm	0.60	1.48	0.99	1.00	0.220874		0.662689		0.737554		0.818175
F11	Plau	0.91	0.34	0.58	0.52	0.494848		0.034250		0.093728		0.071724
F12	Rbpj	0.96	0.30	0.60	0.86	0.629616		0.065947		0.172620		0.474724
G01	Ruvbl2	0.46	0.61	0.73	0.88	0.012554		0.048695		0.213056		0.401681
G02	Serpine1	1.20	1.87	1.27	1.13	0.681532		0.137648		0.572249		0.906491
G03	Slc16a3	0.58	0.23	0.56	0.60	0.046063		0.011951		0.077815		0.126919
G04	Slc2a1	0.63	0.45	0.78	0.75	0.069858		0.041675		0.352314		0.213201
G05	Slc2a3	0.67	0.33	0.60	0.68	0.214005		0.124332		0.216171		0.306115
G06	Tfrc	0.96	0.37	0.55	0.95	0.602276		0.039797		0.102970		0.665389
G07	Tpi1	0.71	0.54	0.61	0.73	0.122356		0.056810		0.087930		0.188019
G08	Trp53	1.27	2.20	0.96	0.71	0.765312		0.115682	 	0.664814		0.305228
G09	Txnip	0.90	6.63	1.65	1.20	0.510364		0.041210		0.653311		0.953711
G10	Usf2	0.94	0.80	0.50	0.77	0.493867		0.767696		0.141499		0.475304
G11	Vdac1	0.47	2.14	1.36	0.82	0.154186		0.219265		0.717820		0.449406
G12	Vegfa	1.01	13.18	3.63	2.20	0.617330		0.018136		0.169917		0.039536
H01	Actb	0.99	4.08	1.78	1.54	0.512510		0.269820		0.999793		0.764659
H02	B2m	2.00	9.03	6.29	5.12	0.764139		0.049525		0.118950		0.220735
H03	Gapdh	0.72	0.18	0.57	0.70	0.174689		0.025330		0.184862		0.236111
H04	Gusb	1.00	1.00	1.00	1.00	0.393781		0.450779 	0.934536		0.307071
H05	Hsp90ab1	0.61	3.29	1.14	1.11	0.292158		0.197661		0.694994		0.886919
													
												
